URL,Job Zone,Code,Occupation,Data-level,STEM,AA Level Based on Job Zone,AA Level - STEM
https://www.onetonline.org/link/details/29-1141.01,3,29-1141.01,Acute Care Nurses,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3021.00,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/19-4012.00,3,19-4012.00,Agricultural Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3011.00,3,17-3011.00,Architectural and Civil Drafters,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3027.01,3,17-3027.01,Automotive Engineering Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3028.00,3,17-3028.00,Calibration Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2031.00,3,29-2031.00,Cardiovascular Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/19-4031.00,3,19-4031.00,Chemical Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3022.00,3,17-3022.00,Civil Engineering Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/15-1211.00,3,15-1211.00,Computer Systems Analysts,Y,Y,Medium,High
https://www.onetonline.org/link/details/15-1299.08,3,15-1299.08,Computer Systems Engineers/Architects,Y,Y,Medium,High
https://www.onetonline.org/link/details/15-1232.00,3,15-1232.00,Computer User Support Specialists,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-1292.00,3,29-1292.00,Dental Hygienists,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2032.00,3,29-2032.00,Diagnostic Medical Sonographers,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2051.00,3,29-2051.00,Dietetic Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3023.00,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3012.00,3,17-3012.00,Electrical and Electronics Drafters,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3024.00,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2042.00,3,29-2042.00,Emergency Medical Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/19-4013.00,3,19-4013.00,Food Science Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/19-4092.00,3,19-4092.00,Forensic Science Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/19-4071.00,3,19-4071.00,Forest and Conservation Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-9021.00,3,29-9021.00,Health Information Technologists and Medical Registrars,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2092.00,3,29-2092.00,Hearing Aid Specialists,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2012.01,3,29-2012.01,Histology Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/19-4044.00,3,19-4044.00,Hydrologic Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3026.00,3,17-3026.00,Industrial Engineering Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2061.00,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2035.00,3,29-2035.00,Magnetic Resonance Imaging Technologists,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3013.00,3,17-3013.00,Mechanical Drafters,Y,Y,Medium,High
https://www.onetonline.org/link/details/17-3027.00,3,17-3027.00,Mechanical Engineering Technologists and Technicians,Y,Y,Medium,High
https://www.onetonline.org/link/details/29-2012.00,3,29-2012.00,Medical and Clinical Laboratory Technicians,Y,Y,Medium,High
