URL,Detailed Work Activities
https://www.onetonline.org/link/details/13-2011.00,"Prepare financial documents, reports, or budgets.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,Advise others on financial matters.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Report information to managers or other personnel.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Advise others on business or operational matters.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Examine financial records.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Collect evidence for legal proceedings.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Investigate legal issues.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Oversee business processes.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Examine financial records or processes.Related occupations
https://www.onetonline.org/link/details/13-2011.00,"Discuss business strategies, practices, or policies with managers.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,Analyze business or financial data.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Prepare financial documents.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Verify accuracy of records.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Verify accuracy of financial information.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Analyze financial information.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Conduct financial or regulatory audits.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Calculate tax information.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Advise others on human resources topics.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Develop business or financial information systems.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Assess financial status of clients.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Coordinate regulatory documentation activities.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Evaluate effectiveness of personnel policies or practices.Related occupations
https://www.onetonline.org/link/details/13-2011.00,Analyze budgetary or accounting data.Related occupations
https://www.onetonline.org/link/details/13-2011.00,"Pay charges, fees, or taxes.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,Prepare operational budgets.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Collaborate with others to prepare or perform artistic productions.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Entertain public with comedic or dramatic performances.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Study scripts to determine project requirements.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Practice athletic or artistic skills.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Audition for roles.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Perform music for the public.Related occupations
https://www.onetonline.org/link/details/27-2011.00,Collaborate with others to determine technical details of productions.Related occupations
https://www.onetonline.org/link/details/27-2011.00,"Promote products, activities, or organizations.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,Write material for artistic or entertainment purposes.Related occupations
https://www.onetonline.org/link/details/27-2011.00,"Inform viewers, listeners, or audiences.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,"Construct distinctive physical objects for artistic, functional, or commercial purposes.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,Follow protocols or regulations for healthcare activities.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Develop treatment plans that use non-medical therapies.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Treat patients using alternative medical procedures.Related occupations
https://www.onetonline.org/link/details/29-1291.00,"Collect medical information from patients, family members, or other medical professionals.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,Analyze test data or images to inform diagnosis or treatment.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Advise patients on effects of health conditions or treatments.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Examine patients to assess general physical condition.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Record patient medical histories.Related occupations
https://www.onetonline.org/link/details/29-1291.00,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,Prepare medications or medical solutions.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Treat patients using physical therapy techniques.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Evaluate patient outcomes to determine effectiveness of treatments.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Evaluate treatment options to guide medical decisions.Related occupations
https://www.onetonline.org/link/details/29-1291.00,Prescribe treatments or therapies.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Treat medical emergencies.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Administer anesthetics or sedatives to control pain.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Monitor patients following surgeries or other treatments.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Record patient medical histories.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Diagnose medical conditions.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Administer blood or other fluids intravenously.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Analyze patient data to determine patient needs or treatment goals.Related occupations
https://www.onetonline.org/link/details/29-1141.01,"Monitor patient conditions during treatments, procedures, or activities.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,Adjust prostheses or other assistive devices.Related occupations
https://www.onetonline.org/link/details/29-1141.01,"Evaluate patient functioning, capabilities, or health.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,Analyze test data or images to inform diagnosis or treatment.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Communicate detailed medical information to patients or family members.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Collect biological specimens from patients.Related occupations
https://www.onetonline.org/link/details/29-1141.01,Refer patients to other healthcare practitioners or health resources.Related occupations
