Industry,Employed by this Industry,Code,Occupation,Projected Growth (2022-2032),Projected Job Openings (2022-2032),Technology Skills,Tasks,Detailed Work Activities,Job Zone
Finance and Insurance,98%,43-3071.00,Tellers,Decline,"29,000","Accounting software, Data base user interface and query software, Document management software, Electronic mail software, Enterprise resource planning ERP software, Internet browser softwareRelated occupations, Office suite software, Operating system software, Presentation software, Spreadsheet software, Word processing software","Balance currency, coin, and checks in cash drawers at ends of shifts and calculate daily transactions, using computers, calculators, or adding machines.Related occupations, Receive checks and cash for deposit, verify amounts, and check accuracy of deposit slips.Related occupations, Monitor bank vaults to ensure cash balances are correct.Related occupations, Cash checks and pay out money after verifying that signatures are correct, that written and numerical amounts agree, and that accounts have sufficient funds.Related occupations, Count currency, coins, and checks received, by hand or using currency-counting machine, to prepare them for deposit or shipment to branch banks or the Federal Reserve Bank.Related occupations, Enter customers' transactions into computers to record transactions and issue computer-generated receipts.Related occupations, Examine checks for endorsements and to verify other information, such as dates, bank names, identification of the persons receiving payments, and the legality of the documents.Related occupations, Resolve problems or discrepancies concerning customers' accounts.Related occupations, Prepare and verify cashier's checks.Related occupations, Process transactions, such as term deposits, retirement savings plan contributions, automated teller transactions, night deposits, and mail deposits.Related occupations, Answer telephones and assist customers with their questions.Related occupations, Identify transaction mistakes when debits and credits do not balance.Related occupations, Carry out special services for customers, such as ordering bank cards and checks.Related occupations, Sort and file deposit slips and checks.Related occupations, Receive and count daily inventories of cash, drafts, and travelers' checks.Related occupations, Order a supply of cash to meet daily needs.Related occupations, Arrange monies received in cash boxes and coin dispensers according to denomination.Related occupations, Receive mortgage, loan, or public utility bill payments, verifying payment dates and amounts due.Related occupations, Explain, promote, or sell products or services, such as travelers' checks, savings bonds, money orders, and cashier's checks, using computerized information about customers to tailor recommendations.Related occupations, Count, verify, and post armored car deposits.Related occupations, Obtain and process information required for the provision of services, such as opening accounts, savings plans, and purchasing bonds.Related occupations, Perform clerical tasks, such as typing, filing, and microfilm photography.Related occupations, Compute financial fees, interest, and service charges.Related occupations, Compose, type, and mail customer statements and other correspondence related to issues such as discrepancies and outstanding unpaid items.Related occupations, Process and maintain records of customer loans.Related occupations, Quote unit exchange rates, following daily international rate sheets or computer displays.Related occupations, Issue checks to bond owners in settlement of transactions.Related occupations, Inform customers about foreign currency regulations and compute transaction fees for currency exchanges.Related occupations","Verify accuracy of financial or transactional data.Related occupations, Execute sales or other financial transactions.Related occupations, Collect deposits, payments or fees.Related occupations, Calculate financial data.Related occupations, Prepare cash for deposit or disbursement.Related occupations, Enter information into databases or software programs.Related occupations, Respond to customer problems or complaints.Related occupations, Answer customer questions about goods or services.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Order materials, supplies, or equipment.Related occupations, File documents or records.Related occupations, Sell products or services.Related occupations, Obtain personal or financial information about customers or applicants.Related occupations, Type documents.Related occupations, Issue documentation or identification to customers or employees.Related occupations, Maintain financial or account records.Related occupations, Prepare business correspondence.Related occupations, Send information, materials or documentation.Related occupations, Interpret financial information for others.Related occupations, Calculate costs of goods or services.Related occupations, Explain regulations, policies, or procedures.Related occupations",2
Finance and Insurance,96%,43-4141.00,New Accounts Clerks,Decline,"3,200","Accounting softwareRelated occupations, Cloud-based data access and sharing software, Customer relationship management CRM software, Data base user interface and query software, Electronic mail software, Enterprise resource planning ERP software, Financial analysis software, Internet browser software, Office suite software, Presentation software, Spreadsheet software, Word processing software","Perform teller duties as required.Related occupations, Compile information about new accounts, enter account information into computers, and file related forms or other documents.Related occupations, Collect and record customer deposits and fees and issue receipts, using computers.Related occupations, Inform customers of procedures for applying for services, such as ATM cards, direct deposit of checks, and certificates of deposit.Related occupations, Answer customers' questions and explain available services, such as deposit accounts, bonds, and securities.Related occupations, Interview customers to obtain information needed for opening accounts or renting safe-deposit boxes.Related occupations, Refer customers to appropriate bank personnel to meet their financial needs.Related occupations, Investigate and correct errors upon customers' request, according to customer and bank records.Related occupations, Execute wire transfers of funds.Related occupations, Issue initial and replacement safe-deposit keys to customers, and admit customers to vaults.Related occupations, Process loan applications.Related occupations, Obtain credit records from reporting agencies.Related occupations, Schedule repairs for locks on safe-deposit boxes.Related occupations, Perform foreign currency transactions and sell traveler's checks.Related occupations, Duplicate records for distribution to branch offices.Related occupations","Execute sales or other financial transactions.Related occupations, Collect deposits, payments or fees.Related occupations, Compile data or documentation.Related occupations, Enter information into databases or software programs.Related occupations, Type documents.Related occupations, Explain regulations, policies, or procedures.Related occupations, Discuss goods or services information with customers or patrons.Related occupations, Obtain personal or financial information about customers or applicants.Related occupations, Interview employees, customers, or others to collect information.Related occupations, Refer customers to appropriate personnel.Related occupations, Respond to customer problems or complaints.Related occupations, Distribute materials to employees or customers.Related occupations, Schedule appointments.Related occupations, Sell products or services.Related occupations, Operate office equipment.Related occupations",3
Finance and Insurance,94%,13-2053.00,Insurance Underwriters,Decline,"8,200","Data base user interface and query software, Document management software, Electronic mail software, Enterprise resource planning ERP software, Financial analysis software, Information retrieval or search software, Internet browser software, Object or component oriented development software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Word processing software","Examine documents to determine degree of risk from factors such as applicant health, financial standing and value, and condition of property.Related occupations, Decline excessive risks.Related occupations, Write to field representatives, medical personnel, or others to obtain further information, quote rates, or explain company underwriting policies.Related occupations, Evaluate possibility of losses due to catastrophe or excessive insurance.Related occupations, Review company records to determine amount of insurance in force on single risk or group of closely related risks.Related occupations, Decrease value of policy when risk is substandard and specify applicable endorsements or apply rating to ensure safe, profitable distribution of risks, using reference materials.Related occupations, Authorize reinsurance of policy when risk is high.Related occupations","Analyze health-related data.Related occupations, Assess financial status of clients.Related occupations, Authorize financial actions.Related occupations, Explain regulations, policies, or procedures.Related occupations, Assess risks to business operations.Related occupations, Verify accuracy of records.Related occupations",4
Finance and Insurance,93%,13-1032.00,"Insurance Appraisers, Auto Damage",Decline,900,"Accounting software, Compiler and decompiler software, Data base user interface and query software, Document management software, Electronic mail software, Graphics or photo imaging software, Internet browser software, Office suite software, Operating system software, Presentation software, Project management software, Spreadsheet software, Word processing software","Evaluate practicality of repair as opposed to payment of market value of vehicle before accident.Related occupations, Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.Related occupations, Examine damaged vehicle to determine extent of structural, body, mechanical, electrical, or interior damage.Related occupations, Prepare insurance forms to indicate repair cost estimates and recommendations.Related occupations, Estimate parts and labor to repair damage, using standard automotive labor and parts cost manuals and knowledge of automotive repair.Related occupations, Determine salvage value on total-loss vehicle.Related occupations, Arrange to have damage appraised by another appraiser to resolve disagreement with shop on repair cost.Related occupations","Estimate costs of goods or services.Related occupations, Examine financial records.Related occupations, Inspect mechanical components of vehicles to identify problems.Related occupations, Inspect motor vehicles.Related occupations, Inspect structural components of vehicles to identify problems.Related occupations, Prepare contracts or other transaction documents.Related occupations, Determine the value of goods or services.Related occupations, Communicate with management or other staff to resolve problems.Related occupations",3
Finance and Insurance,89%,41-3031.00,"Securities, Commodities, and Financial Services Sales AgentsBright Outlook",Faster than average,"40,100","Accounting software, Analytical or scientific software, Business intelligence and data analysis software, Calendar and scheduling software, Cloud-based data access and sharing software, Compliance software, Customer relationship management CRM software, Data base user interface and query software, Desktop communications software, Development environment software, Electronic mail software, Enterprise resource planning ERP software, Financial analysis software, Graphics or photo imaging software, Internet browser software, Object or component oriented development software, Office suite software, Operating system software, Presentation software, Project management softwareRelated occupations, Spreadsheet software, Transaction server software, Web page creation and editing software, Word processing software","Make bids or offers to buy or sell securities.Related occupations, Monitor markets or positions.Related occupations, Agree on buying or selling prices at optimal levels for clients.Related occupations, Keep accurate records of transactions.Related occupations, Buy or sell stocks, bonds, commodity futures, foreign currencies, or other securities on behalf of investment dealers.Related occupations, Complete sales order tickets and submit for processing of client-requested transactions.Related occupations, Report all positions or trading results.Related occupations, Interview clients to determine clients' assets, liabilities, cash flow, insurance coverage, tax status, or financial objectives.Related occupations, Discuss financial options with clients and keep them informed about transactions.Related occupations, Identify opportunities or develop channels for purchase or sale of securities or commodities.Related occupations, Develop financial plans, based on analysis of clients' financial status.Related occupations, Review all securities transactions to ensure accuracy of information and conformance to governing agency regulations.Related occupations, Devise trading, option, or hedge strategies.Related occupations, Determine customers' financial services needs and prepare proposals to sell services that address these needs.Related occupations, Track and analyze factors that affect price movement, such as trade policies, weather conditions, political developments, or supply and demand changes.Related occupations, Inform other traders, managers, or customers of market conditions, including volume, price, competition, or dynamics.Related occupations, Offer advice on the purchase or sale of particular securities.Related occupations, Contact prospective customers to present information and explain available services.Related occupations, Explain stock market terms or trading practices to clients.Related occupations, Calculate costs for billings or commissions.Related occupations, Prepare financial reports to monitor client or corporate finances.Related occupations, Supply the latest price quotes on any security, as well as information on the activities or financial positions of the corporations issuing these securities.Related occupations, Supervise support staff and ensure proper execution of contracts.Related occupations, Relay buy or sell orders to securities exchanges or to firm trading departments.Related occupations, Evaluate costs and revenue of agreements to determine continued profitability.Related occupations, Sell services or equipment, such as trusts, investments, or check processing services.Related occupations, Negotiate prices or contracts for securities or commodities sales or purchases.Related occupations, Prepare and send requests for price quotations to all companies in a particular market.Related occupations, Price securities or commodities based on market conditions.Related occupations, Purchase or sell financial derivatives for customers.Related occupations","Negotiate prices or other sales terms.Related occupations, Monitor market conditions or trends.Related occupations, Maintain records of sales or other business transactions.Related occupations, Sell products or services.Related occupations, Prepare financial documents, reports, or budgets.Related occupations, Prepare sales or other contracts.Related occupations, Process sales or other transactions.Related occupations, Gather customer or product information to determine customer needs.Related occupations, Explain financial information to customers.Related occupations, Identify investment opportunities or strategies.Related occupations, Develop professional relationships or networks.Related occupations, Customize financial products or services to meet customer needs.Related occupations, Review accuracy of sales or other transactions.Related occupations, Monitor sales activities.Related occupations, Supervise sales or support personnel.Related occupations, Analyze market conditions or trends.Related occupations, Develop proposals for current or prospective customers.Related occupations, Share sales-related or market information with colleagues.Related occupations, Coordinate activities with suppliers, contractors, clients, or other departments.Related occupations, Contact current or potential customers to promote products or services.Related occupations, Explain technical product or service information to customers.Related occupations, Calculate costs of goods or services.Related occupations, Estimate costs or terms of sales.Related occupations, Analyze business or financial data.Related occupations, Gather information in order to provide services to clients.Related occupations, Negotiate purchases or contracts.Related occupations, Purchase products or services.Related occupations",4
Finance and Insurance,88%,43-4011.00,Brokerage Clerks,Decline,"4,300","Accounting software, Calendar and scheduling software, Cloud-based data access and sharing software, Customer relationship management CRM software, Data base user interface and query software, Desktop communications software, Desktop publishing software, Document management software, Electronic mail software, Enterprise resource planning ERP software, Financial analysis software, Graphics or photo imaging software, Instant messaging softwareRelated occupations, Internet browser software, Object oriented data base management software, Office suite software, Presentation software, Spreadsheet software, Web page creation and editing software, Word processing software","Correspond with customers and confer with coworkers to answer inquiries, discuss market fluctuations, or resolve account problems.Related occupations, Document security transactions, such as purchases, sales, conversions, redemptions, or payments, using computers, accounting ledgers, or certificate records.Related occupations, File, type, or operate standard office machines.Related occupations, Perform clerical tasks, such as answering phones or distributing mail.Related occupations, Prepare forms, such as receipts, withdrawal orders, transmittal papers, or transfer confirmations, based on transaction requests from stockholders.Related occupations, Schedule and coordinate transfer and delivery of security certificates between companies, departments, and customers.Related occupations, Monitor daily stock prices and compute fluctuations to determine the need for additional collateral to secure loans.Related occupations, Verify ownership and transaction information and dividend distribution instructions to ensure conformance with governmental regulations, using stock records and reports.Related occupations, Compute total holdings, dividends, interest, transfer taxes, brokerage fees, or commissions and allocate appropriate payments to customers.Related occupations, Prepare reports summarizing daily transactions and earnings for individual customer accounts.Related occupations","Confer with coworkers to coordinate work activities.Related occupations, Respond to customer problems or complaints.Related occupations, Prepare documentation for contracts, transactions, or regulatory compliance.Related occupations, File documents or records.Related occupations, Coordinate operational activities.Related occupations, Monitor financial information.Related occupations, Schedule operational activities.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Distribute incoming mail.Related occupations, Verify accuracy of financial or transactional data.Related occupations, Calculate financial data.Related occupations, Prepare research or technical reports.Related occupations",3
Finance and Insurance,85%,41-3021.00,Insurance Sales Agents,Faster than average,"48,300","Calendar and scheduling software, Customer relationship management CRM software, Data base user interface and query software, Document management software, Electronic mail software, Enterprise resource planning ERP software, Financial analysis software, Instant messaging software, Internet browser software, Medical software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Video conferencing software, Video creation and editing software, Web page creation and editing software, Word processing software","Customize insurance programs to suit individual customers, often covering a variety of risks.Related occupations, Sell various types of insurance policies to businesses and individuals on behalf of insurance companies, including automobile, fire, life, property, medical and dental insurance, or specialized policies, such as marine, farm/crop, and medical malpractice.Related occupations, Explain features, advantages, and disadvantages of various policies to promote sale of insurance plans.Related occupations, Perform administrative tasks, such as maintaining records and handling policy renewals.Related occupations, Seek out new clients and develop clientele by networking to find new customers and generate lists of prospective clients.Related occupations, Call on policyholders to deliver and explain policy, to analyze insurance program and suggest additions or changes, or to change beneficiaries.Related occupations, Confer with clients to obtain and provide information when claims are made on a policy.Related occupations, Interview prospective clients to obtain data about their financial resources and needs, the physical condition of the person or property to be insured, and to discuss any existing coverage.Related occupations, Contact underwriter and submit forms to obtain binder coverage.Related occupations, Select company that offers type of coverage requested by client to underwrite policy.Related occupations, Ensure that policy requirements are fulfilled, including any necessary medical examinations and the completion of appropriate forms.Related occupations, Develop marketing strategies to compete with other individuals or companies who sell insurance.Related occupations, Calculate premiums and establish payment method.Related occupations, Attend meetings, seminars, and programs to learn about new products and services, learn new skills, and receive technical assistance in developing new accounts.Related occupations, Monitor insurance claims to ensure they are settled equitably for both the client and the insurer.Related occupations, Plan and oversee incorporation of insurance program into bookkeeping system of company.Related occupations, Inspect property, examining its general condition, type of construction, age, and other characteristics, to decide if it is a good insurance risk.Related occupations, Install bookkeeping systems and resolve system problems.Related occupations, Explain necessary bookkeeping requirements for customer to implement and provide group insurance program.Related occupations","Customize financial products or services to meet customer needs.Related occupations, Sell products or services.Related occupations, Explain financial information to customers.Related occupations, Maintain records of sales or other business transactions.Related occupations, Take product orders from customers.Related occupations, Develop professional relationships or networks.Related occupations, Identify potential customers.Related occupations, Gather customer or product information to determine customer needs.Related occupations, Prepare sales or other contracts.Related occupations, Examine documents to verify adherence to requirements.Related occupations, Develop marketing plans or strategies.Related occupations, Review accuracy of sales or other transactions.Related occupations, Calculate costs of goods or services.Related occupations, Process sales or other transactions.Related occupations, Manage information technology projects or system activities.Related occupations, Examine condition of property or products.Related occupations, Attend events to develop professional knowledge.Related occupations, Study product information to acquire professional knowledge.Related occupations, Install computer software.Related occupations, Resolve computer software problems.Related occupations",4
Finance and Insurance,85%,13-2072.00,Loan Officers,Average,"25,300","Accounting software, Compliance software, Content workflow software, Customer relationship management CRM software, Data base user interface and query software, Development environment software, Document management software, Electronic mail software, Enterprise resource planning ERP software, Financial analysis software, Information retrieval or search software, Internet browser software, Office suite software, Presentation software, Spreadsheet software, Transaction server software, Video conferencing software, Word processing software","Meet with applicants to obtain information for loan applications and to answer questions about the process.Related occupations, Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.Related occupations, Approve loans within specified limits, and refer loan applications outside those limits to management for approval.Related occupations, Explain to customers the different types of loans and credit options that are available, as well as the terms of those services.Related occupations, Submit applications to credit analysts for verification and recommendation.Related occupations, Review loan agreements to ensure that they are complete and accurate according to policy.Related occupations, Review and update credit and loan files.Related occupations, Obtain and compile copies of loan applicants' credit histories, corporate financial statements, and other financial information.Related occupations, Work with clients to identify their financial goals and to find ways of reaching those goals.Related occupations, Handle customer complaints and take appropriate action to resolve them.Related occupations, Stay abreast of new types of loans and other financial services and products to better meet customers' needs.Related occupations, Market bank products to individuals and firms, promoting bank services that may meet customers' needs.Related occupations, Analyze potential loan markets and develop referral networks to locate prospects for loans.Related occupations, Compute payment schedules.Related occupations, Supervise loan personnel.Related occupations, Prepare reports to send to customers whose accounts are delinquent, and forward irreconcilable accounts for collector action.Related occupations, Set credit policies, credit lines, procedures and standards in conjunction with senior managers.Related occupations, Assist in selection of financial award candidates using electronic databases to certify loan eligibility.Related occupations, Authorize or sign mail collection letters.Related occupations, Calculate amount of debt and funds available to plan methods of payoff and to estimate time for debt liquidation.Related occupations, Confer with underwriters to resolve mortgage application problems.Related occupations, Contact applicants or creditors to resolve questions about applications or to assist with completion of paperwork.Related occupations, Contact borrowers with delinquent accounts to obtain payment in full or to negotiate repayment plans.Related occupations, Counsel clients on personal and family financial problems, such as excessive spending or borrowing of funds.Related occupations, Establish payment priorities according to credit terms and interest rates to reduce clients' overall costs.Related occupations, Inform individuals and groups about the financial assistance available to college or university students.Related occupations, Maintain and review account records, updating and recategorizing them according to status changes.Related occupations, Match individuals' needs and eligibility with available financial aid programs to provide informed recommendations.Related occupations, Review accounts to determine write-offs for collection agencies.Related occupations, Review billing for accuracy.Related occupations","Interview clients to gather financial information.Related occupations, Assess financial status of clients.Related occupations, Authorize financial actions.Related occupations, Interpret financial information for others.Related occupations, Submit financial applications.Related occupations, Verify accuracy of financial information.Related occupations, Examine financial records.Related occupations, Maintain data in information systems or databases.Related occupations, Gather financial records.Related occupations, Correspond with customers to answer questions or resolve complaints.Related occupations, Develop financial plans for clients.Related occupations, Supervise employees.Related occupations, Update professional knowledge.Related occupations, Market products, services, or events.Related occupations, Analyze market conditions or trends.Related occupations, Compute debt repayment schedules.Related occupations, Prepare financial documents, reports, or budgets.Related occupations, Establish organizational guidelines or policies.Related occupations, Advise others on financial matters.Related occupations, Confer with others about financial matters.Related occupations, Educate clients on financial planning topics.Related occupations, Inform individuals or organizations of status or findings.Related occupations, Recommend products or services to customers.Related occupations, Verify accuracy of records.Related occupations, Verify application data to determine program eligibility.Related occupations",4
Finance and Insurance,85%,43-4131.00,Loan Interviewers and Clerks,Little or no change,"20,000","Accounting software, Customer relationship management CRM software, Data base user interface and query software, Desktop publishing softwareRelated occupations, Electronic mail software, Financial analysis software, Internet browser software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Word processing software","Verify and examine information and accuracy of loan application and closing documents.Related occupations, Assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.Related occupations, Record applications for loan and credit, loan information, and disbursements of funds, using computers.Related occupations, Submit loan applications with recommendation for underwriting approval.Related occupations, Contact customers by mail, telephone, or in person concerning acceptance or rejection of applications.Related occupations, File and maintain loan records.Related occupations, Contact credit bureaus, employers, and other sources to check applicants' credit and personal references.Related occupations, Check value of customer collateral to be held as loan security.Related occupations, Interview loan applicants to obtain personal and financial data and to assist in completing applications.Related occupations, Prepare and type loan applications, closing documents, legal documents, letters, forms, government notices, and checks, using computers.Related occupations, Review customer accounts to determine whether payments are made on time and that other loan terms are being followed.Related occupations, Calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.Related occupations, Answer questions and advise customers regarding loans and transactions.Related occupations, Present loan and repayment schedules to customers.Related occupations, Order property insurance or mortgage insurance policies to ensure protection against loss on mortgaged property.Related occupations, Accept payment on accounts.Related occupations, Schedule and conduct closings of mortgage transactions.Related occupations, Establish credit limits and grant extensions of credit on overdue accounts.Related occupations","Verify accuracy of financial or transactional data.Related occupations, Compile data or documentation.Related occupations, Maintain financial or account records.Related occupations, Prepare documentation for contracts, transactions, or regulatory compliance.Related occupations, Obtain personal or financial information about customers or applicants.Related occupations, Provide notifications to customers or patrons.Related occupations, Determine the value of goods or services.Related occupations, Interview employees, customers, or others to collect information.Related occupations, Prepare business correspondence.Related occupations, Type documents.Related occupations, Calculate financial data.Related occupations, Monitor financial information.Related occupations, Discuss account status or activity with customers or patrons.Related occupations, Arrange insurance coverage.Related occupations, Collect deposits, payments or fees.Related occupations, Schedule appointments.Related occupations, Negotiate financial arrangements.Related occupations",3
Finance and Insurance,84%,43-9041.00,Insurance Claims and Policy Processing Clerks,Decline,"22,100","Accounting software, Data base user interface and query software, Document management software, Electronic mail software, Financial analysis software, Instant messaging software, Internet browser software, Medical software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Word processing software","Prepare insurance claim forms or related documents, and review them for completeness.Related occupations, Calculate amount of claim.Related occupations, Post or attach information to claim file.Related occupations, Transmit claims for payment or further investigation.Related occupations, Contact insured or other involved persons to obtain missing information.Related occupations, Review insurance policy to determine coverage.Related occupations, Process and record new insurance policies and claims.Related occupations, Organize or work with detailed office or warehouse records, using computers to enter, access, search or retrieve data.Related occupations, Provide customer service, such as limited instructions on proceeding with claims or referrals to auto repair facilities or local contractors.Related occupations, Correspond with insured or agent to obtain information or to inform them of account status or changes.Related occupations, Review and verify data, such as age, name, address, and principal sum and value of property, on insurance applications and policies.Related occupations, Compare information from application to criteria for policy reinstatement, and approve reinstatement when criteria are met.Related occupations, Examine letters from policyholders or agents, original insurance applications, and other company documents to determine if changes are needed and effects of changes.Related occupations, Transcribe data to worksheets, and enter data into computer for use in preparing documents and adjusting accounts.Related occupations, Notify insurance agent and accounting department of policy cancellation.Related occupations, Pay small claims.Related occupations, Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.Related occupations, Collect initial premiums and issue receipts.Related occupations, Interview clients and take their calls to provide customer service and obtain information on claims.Related occupations, Obtain computer printout of policy cancellations, or retrieve cancellation cards from file.Related occupations, Compose business correspondence for supervisors, managers, and professionals.Related occupations, Calculate premiums, refunds, commissions, adjustments, or new reserve requirements, using insurance rate standards.Related occupations, Enter insurance- and claims-related information into database systems.Related occupations, Modify, update, or process existing policies and claims to reflect any change in beneficiary, amount of coverage, or type of insurance.Related occupations, Organize or work with detailed office or warehouse records, maintaining files for each policyholder, including policies that are to be reinstated or cancelled.Related occupations","Prepare documentation for contracts, transactions, or regulatory compliance.Related occupations, Check data for recording errors.Related occupations, Execute sales or other financial transactions.Related occupations, Calculate costs of goods or services.Related occupations, Compile data or documentation.Related occupations, Send information, materials or documentation.Related occupations, Review customer insurance information.Related occupations, Discuss account status or activity with customers or patrons.Related occupations, Maintain operational records.Related occupations, Enter information into databases or software programs.Related occupations, Explain regulations, policies, or procedures.Related occupations, Provide notifications to customers or patrons.Related occupations, Verify accuracy of financial or transactional data.Related occupations, Collect deposits, payments or fees.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Interview employees, customers, or others to collect information.Related occupations, Obtain personal or financial information about customers or applicants.Related occupations, Prepare business correspondence.Related occupations, Provide information to coworkers.Related occupations, Maintain financial or account records.Related occupations, Calculate financial data.Related occupations",2
