URL,Importance,Interest,Interest Description
https://www.onetonline.org/link/details/13-2011.00,100,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,48,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,43,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,19,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,2,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,2,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,100,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,52,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,50,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,22,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,19,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,11,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,87,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,57,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,40,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,25,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,14,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,3,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,78,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,72,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,60,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,35,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,19,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,13,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,81,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,74,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,51,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,42,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,10,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,8,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,100,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,56,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,44,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,43,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,27,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,13,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,92,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,54,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,16,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,2,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,2,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,0,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,73,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,71,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,50,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,34,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,10,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,1,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,92,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,91,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,45,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,17,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,10,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,0,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,100,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,46,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,41,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,35,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,32,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
