URL,Importance,Category,Task
https://www.onetonline.org/link/details/11-3012.00,60,Core,"Acquire, distribute and store supplies."
https://www.onetonline.org/link/details/11-3013.00,62,Core,"Acquire, distribute and store supplies."
https://www.onetonline.org/link/details/25-1041.00,64,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1061.00,45,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1031.00,56,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1062.00,53,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1121.00,56,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1051.00,46,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1042.00,45,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1011.00,60,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1052.00,45,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1122.00,56,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1021.00,48,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1111.00,52,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1063.00,41,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1081.00,38,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1032.00,45,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1123.00,43,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1053.00,50,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1192.00,69,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1124.00,46,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1043.00,62,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1064.00,36,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1071.00,60,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1125.00,44,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1112.00,55,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1082.00,50,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1022.00,54,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1072.00,61,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1126.00,51,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1054.00,44,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1065.00,53,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1066.00,42,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1193.00,43,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1113.00,54,Core,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-1067.00,39,Supplemental,Act as advisers to student organizations.
https://www.onetonline.org/link/details/25-2023.00,86,Core,Adapt teaching methods and instructional materials to meet students' varying needs and interests.
https://www.onetonline.org/link/details/25-2021.00,92,Core,Adapt teaching methods and instructional materials to meet students' varying needs and interests.
https://www.onetonline.org/link/details/25-2022.00,78,Core,Adapt teaching methods and instructional materials to meet students' varying needs and interests.
https://www.onetonline.org/link/details/25-2011.00,89,Core,Adapt teaching methods and instructional materials to meet students' varying needs and interests.
https://www.onetonline.org/link/details/25-2031.00,84,Core,Adapt teaching methods and instructional materials to meet students' varying needs and interests.
https://www.onetonline.org/link/details/25-3021.00,86,Core,Adapt teaching methods and instructional materials to meet students' varying needs and interests.
