URL,Category,Example
https://www.onetonline.org/link/details/13-2011.00,Accounting software,Fund accounting software
https://www.onetonline.org/link/details/13-2011.00,Accounting software,Intuit QuickBooks
https://www.onetonline.org/link/details/13-2011.00,Accounting software,Sage 50 Accounting
https://www.onetonline.org/link/details/13-2011.00,Accounting software,Summit Software Summit Biofuels Accounting
https://www.onetonline.org/link/details/13-2011.00,Accounting software,38 moreRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Analytical or scientific software,Guidance Software EnCase Enterprise
https://www.onetonline.org/link/details/13-2011.00,Analytical or scientific software,IBM SPSS Statistics
https://www.onetonline.org/link/details/13-2011.00,Analytical or scientific software,SAS
https://www.onetonline.org/link/details/13-2011.00,Analytical or scientific software,WizSoft WizRule
https://www.onetonline.org/link/details/13-2011.00,Analytical or scientific software,2 moreRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Business intelligence and data analysis software,Alteryx software
https://www.onetonline.org/link/details/13-2011.00,Business intelligence and data analysis software,IBM Cognos Impromptu
https://www.onetonline.org/link/details/13-2011.00,Business intelligence and data analysis software,Oracle Business Intelligence Enterprise Edition
https://www.onetonline.org/link/details/13-2011.00,Business intelligence and data analysis software,Tableau
https://www.onetonline.org/link/details/13-2011.00,Business intelligence and data analysis software,1 moreRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Cloud-based data access and sharing software,Microsoft SharePointRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Compliance software,Intrax ProcedureNet
https://www.onetonline.org/link/details/13-2011.00,Compliance software,Sage HandiSoft HandiLedger
https://www.onetonline.org/link/details/13-2011.00,Compliance software,Tax compliance property tax management software
https://www.onetonline.org/link/details/13-2011.00,Compliance software,TrendTracker Compliance Solution
https://www.onetonline.org/link/details/13-2011.00,Compliance software,9 moreRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Customer relationship management CRM software,Blackbaud The Raiser's Edge
https://www.onetonline.org/link/details/13-2011.00,Customer relationship management CRM software,Salesforce softwareRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Data base management system software,Apache Solr
https://www.onetonline.org/link/details/13-2011.00,Data base management system software,Teradata DatabaseRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Data base reporting software,ADP Super Report Writer
https://www.onetonline.org/link/details/13-2011.00,Data base reporting software,SAP Crystal ReportsRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Data base user interface and query software,Microsoft SQL Server
https://www.onetonline.org/link/details/13-2011.00,Data base user interface and query software,Oracle Database
https://www.onetonline.org/link/details/13-2011.00,Data base user interface and query software,Structured query language SQL
https://www.onetonline.org/link/details/13-2011.00,Data base user interface and query software,Yardi software
https://www.onetonline.org/link/details/13-2011.00,Data base user interface and query software,8 moreRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Data mining software,Data extraction software
https://www.onetonline.org/link/details/13-2011.00,Data mining software,WizSoft WizWhyRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Desktop communications software,EkoRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Desktop publishing software,Microsoft PublisherRelated occupations
https://www.onetonline.org/link/details/13-2011.00,Development environment software,eXtensible Business Reporting Language XBRL
https://www.onetonline.org/link/details/13-2011.00,Development environment software,Microsoft Visual Basic
https://www.onetonline.org/link/details/13-2011.00,Development environment software,Microsoft Visual Basic for Applications VBARelated occupations
https://www.onetonline.org/link/details/13-2011.00,Document management software,Adobe Acrobat
https://www.onetonline.org/link/details/13-2011.00,Document management software,Document management system software
https://www.onetonline.org/link/details/13-2011.00,Document management software,Iron Mountain Accutrac records management software
https://www.onetonline.org/link/details/13-2011.00,Document management software,Sage CPADocument Manager
https://www.onetonline.org/link/details/13-2011.00,Document management software,1 moreRelated occupations
