url,Category,Example
https://www.onetonline.org/link/details/13-2011.00,Desktop calculator,10-key calculators
https://www.onetonline.org/link/details/13-2011.00,Desktop computers,
https://www.onetonline.org/link/details/13-2011.00,Laser fax machine,Laser facsimile machines
https://www.onetonline.org/link/details/13-2011.00,Notebook computers,Laptop computers
https://www.onetonline.org/link/details/13-2011.00,Personal computers,
https://www.onetonline.org/link/details/13-2011.00,Personal digital assistant PDAs or organizers,Personal digital assistants PDA
https://www.onetonline.org/link/details/13-2011.00,Photocopiers,Photocopying equipment
https://www.onetonline.org/link/details/13-2011.00,Scanners,Computer data input scanners
https://www.onetonline.org/link/details/13-2011.00,Tablet computers,
https://www.onetonline.org/link/details/27-2011.00,Camera tripods,Photography tripods
https://www.onetonline.org/link/details/27-2011.00,Digital camcorders or video cameras,Digital video recorders
https://www.onetonline.org/link/details/27-2011.00,Digital cameras,Digital still cameras
https://www.onetonline.org/link/details/27-2011.00,Microphones,Wireless microphones
https://www.onetonline.org/link/details/27-2011.00,MP3 players or recorders,MP3 digital voice recorders
https://www.onetonline.org/link/details/27-2011.00,Notebook computers,Laptop computers
https://www.onetonline.org/link/details/27-2011.00,Personal computers,
https://www.onetonline.org/link/details/27-2011.00,Tablet computers,
https://www.onetonline.org/link/details/15-2011.00,Desktop calculator,10-key calculators
https://www.onetonline.org/link/details/15-2011.00,Desktop computers,
https://www.onetonline.org/link/details/15-2011.00,Notebook computers,
https://www.onetonline.org/link/details/15-2011.00,Personal computers,
https://www.onetonline.org/link/details/29-1291.00,Acupuncture magnet pellets or seeds,Therapeutic acupuncture magnets
https://www.onetonline.org/link/details/29-1291.00,Acupuncture needles,Ear tacks
https://www.onetonline.org/link/details/29-1291.00,Balance beams or boards or bolsters or rockers for rehabilitation or therapy,Positioning bolsters
https://www.onetonline.org/link/details/29-1291.00,Commercial use food grinders,Herb grinders
https://www.onetonline.org/link/details/29-1291.00,Electric vibrators for rehabilitation or therapy,Ultrasound massagers; Vibration massagers
