URL,Importance,Work Style,Work Style Description
https://www.onetonline.org/link/details/13-2011.00,97,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/13-2011.00,97,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/13-2011.00,92,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,86,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/13-2011.00,79,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,78,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/13-2011.00,77,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/13-2011.00,77,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/13-2011.00,73,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,72,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/13-2011.00,71,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/13-2011.00,67,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,63,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,60,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/13-2011.00,57,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/13-2011.00,52,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/27-2011.00,100,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,96,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/27-2011.00,95,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/27-2011.00,95,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,95,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/27-2011.00,95,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,93,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/27-2011.00,91,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/27-2011.00,88,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,79,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/27-2011.00,77,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/27-2011.00,76,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/27-2011.00,73,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,73,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/27-2011.00,68,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/27-2011.00,56,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/15-2011.00,97,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/15-2011.00,93,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/15-2011.00,91,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/15-2011.00,84,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,80,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/15-2011.00,79,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/15-2011.00,74,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/15-2011.00,73,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/15-2011.00,67,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
